,sna,tot,sbi,sarea,mday,ar,bemp,act
1237,YouBike2.0_臺大大一女舍北側,53,2,臺大專區,2023-05-27 15:16:16,臺大女一舍北側,51,1
1240,YouBike2.0_臺大立體機車停車場,27,0,臺大專區,2023-05-27 14:55:12,基隆路三段/基隆路三段156巷口北側,26,1
1244,YouBike2.0_臺大樂學館東側,28,5,臺大專區,2023-05-27 15:10:22,臺大文學院西側,23,1
1245,YouBike2.0_臺大農化新館西側,10,0,臺大專區,2023-05-27 15:14:04,臺大生化科技學系西側,9,1
1246,YouBike2.0_臺大五號館西側,20,4,臺大專區,2023-05-27 15:15:15,臺大生物系館西側,15,1
1249,YouBike2.0_臺大共同教室東南側,12,5,臺大專區,2023-05-27 15:15:15,臺大共同教學館東南側,6,1
1251,YouBike2.0_臺大公館停車場西北側,12,1,臺大專區,2023-05-27 13:34:04,臺大公館停車場西北側,11,1
1252,YouBike2.0_臺大第二行政大樓南側,27,0,臺大專區,2023-05-27 15:19:04,臺大行政大樓西側,27,1
1254,YouBike2.0_臺大二號館,10,3,臺大專區,2023-05-27 15:19:15,臺大物理文物廳北側,7,1
1259,YouBike2.0_臺大椰林小舖,48,0,臺大專區,2023-05-27 15:08:04,臺大椰林小舖旁,47,1
1266,YouBike2.0_臺大森林館北側,10,2,臺大專區,2023-05-27 14:58:15,臺大森林系學系北側,8,1
1267,YouBike2.0_臺大一號館,19,2,臺大專區,2023-05-27 15:19:15,臺大植物魚類標本館一號館北側,17,1
1268,YouBike2.0_臺大小小福西南側,10,0,臺大專區,2023-05-27 13:55:12,臺大進修教育大樓,10,1
1270,YouBike2.0_臺大四號館東北側,10,0,臺大專區,2023-05-27 15:08:04,臺大園藝暨景觀學系北側,10,1
1272,YouBike2.0_臺大鄭江樓北側,10,3,臺大專區,2023-05-27 15:06:16,臺大新聞研究所南側,7,1
1273,YouBike2.0_臺大電機二館東南側,14,1,臺大專區,2023-05-27 15:11:04,臺大電機二館南側,13,1
1279,YouBike2.0_臺大明達館北側(員工宿舍),18,5,臺大公館校區,2023-05-27 15:10:22,明達館北側前空地,12,1
